#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-06-23T10:41:05 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ558937a53bf5	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/577/A128&tab:{J/A+A/577/A128/tablea2}&key:source=J/A+A/577/A128/tablea2&HTTPPRM:&
#-source=J/A+A/577/A128/tablea2
#-order=I
#-out=Karmn
#-out=PC1
#-out=TiO2
#-out=TiO5
#-out=VO-7912
#-out=Color-M
#-out=CaH2
#-out=CaH3
#-out=zeta
#-out=pEW(Ha)
#-out=e_pEW(Ha)
#-out=E_pEW(Ha)
#

#RESOURCE=yCat_35770128
#Name: J/A+A/577/A128
#Title: CARMENES input catalogue of M dwarfs. I (Alonso-Floriano+, 2015)
#Table	J_A_A_577_A128_tablea2:
#Name: J/A+A/577/A128/tablea2
#Title: Spectral indices, zeta index and pEW(Halpha)
#Column	Karmn	(a13)	Our CARMENES star identification \linkRole{basic star data }	[ucd=meta.id;meta.main]
#Column	PC1	(F6.3)	PC1 spectral index (Martin et al. 1996ApJ...469..706M)	[ucd=spect.index]
#Column	TiO2	(F6.3)	TiO2 spectral index (Reid et al. 1995AJ....110.1838R, Cat. III/198)	[ucd=spect.index]
#Column	TiO5	(F6.3)	TiO5 spectral index (Reid et al. 1995AJ....110.1838R, Cat. III/198)	[ucd=spect.index]
#Column	VO-7912	(F6.3)	VO-7912 spectral index (Martin et al. 1999AJ....118.2466M)	[ucd=spect.index]
#Column	Color-M	(F6.3)	Color-M spectral index (Lepine et al. 2003, Cat. J/AJ/125/1598)	[ucd=spect.index]
#Column	CaH2	(F6.3)	CaH2 spectral index (Reid et al. 1995AJ....110.1838R, Cat. III/198)	[ucd=spect.index]
#Column	CaH3	(F6.3)	CaH3 spectral index (Reid et al. 1995AJ....110.1838R, Cat. III/198)	[ucd=spect.index]
#Column	zeta	(F6.3)	zeta metallicity spectral index (Lepine et al. 2007ApJ...669.1235L)	[ucd=spect.index]
#Column	pEW(Ha)	(F5.1)	Pseudo-equivalent width of Halpha line	[ucd=spect.line.eqWidth]
#Column	e_pEW(Ha)	(F4.1)	Error in pEW(Ha) (lower value)	[ucd=stat.error]
#Column	E_pEW(Ha)	(F4.1)	Error in pEW(Ha) (upper value)	[ucd=stat.error;stat.max]
Karmn|PC1|TiO2|TiO5|VO-7912|Color-M|CaH2|CaH3|zeta|pEW(Ha)|e_pEW(Ha)|E_pEW(Ha)
J18019+001   | 1.191| 0.596| 0.402| 1.092| 1.393| 0.438| 0.673| 0.900| -2.5| 0.5| 0.6
J18022+642   | 1.344| 0.447| 0.309| 1.166| 1.865| 0.376| 0.612| 0.926| -5.2| 0.6| 0.7
J18028-030   | 1.215| 0.612| 0.396| 1.098| 1.412| 0.498| 0.770| 1.105| -0.7| 0.3| 0.4
J18036-189   | 1.354| 0.459| 0.308| 1.159| 1.894| 0.381| 0.636| 0.950| -8.2| 0.6| 0.7
J18041+838   | 1.233| 0.622| 0.420| 1.093| 1.431| 0.490| 0.744| 1.012|  0.0| 0.4| 0.4
J18046+139   | 1.085| 0.695| 0.503| 1.055| 1.131| 0.518| 0.736| 0.892|  0.0| 0.4| 0.4
J18054+015   | 1.183| 0.632| 0.426| 1.075| 1.322| 0.503| 0.751| 1.030|  0.0| 0.4| 0.4
J18057-143   | 1.463| 0.378| 0.235| 1.207| 2.391| 0.320| 0.577| 0.959| -5.9| 0.5| 0.9
J18068+177   | 1.215| 0.589| 0.382| 1.094| 1.452| 0.446| 0.681| 0.946|  0.0| 0.4| 0.4
J18090+241   | 1.008| 0.805| 0.645| 1.005| 0.895| 0.679| 0.843| 1.021|  0.0| 0.4| 0.4
J18112-010   | 1.182| 0.593| 0.406| 1.103| 1.280| 0.457| 0.691| 0.932| -5.6| 0.5| 0.7
J18130+414   | 1.187| 0.601| 0.398| 1.083| 1.390| 0.447| 0.694| 0.935| -2.0| 0.5| 0.5
J18131+260AB | 1.242| 0.526| 0.368| 1.109| 1.373| 0.432| 0.656| 0.929| -7.8| 0.7| 1.2
J18135+055   | 1.250| 0.611| 0.410| 1.076| 1.487| 0.492| 0.740| 1.027|  0.0| 0.4| 0.4
J18149+196   | 1.036| 0.738| 0.550| 1.024| 0.957| 0.556| 0.757| 0.879|  0.0| 0.4| 0.4
J18162+686   | 1.009| 0.755| 0.616| 1.011| 0.878| 0.633| 0.817| 0.954|  0.0| 0.4| 0.4
J18224+620   | 1.295| 0.553| 0.379| 1.120| 1.791| 0.477| 0.711| 1.022| -0.5| 0.3| 0.2
J18253+186   | 1.184| 0.621| 0.420| 1.072| 1.289| 0.486| 0.724| 0.981|  0.0| 0.4| 0.4
J18306-039   | 1.382| 0.530| 0.333| 1.130| 1.951| 0.396| 0.678| 0.965| -2.4| 0.4| 0.5
J18313+649   | 1.144| 0.574| 0.416| 1.081| 1.235| 0.455| 0.684| 0.906| -3.2| 0.4| 0.5
J18338+194   | 1.149| 0.697| 0.502| 1.056| 1.199| 0.545| 0.758| 0.960| -0.6| 0.2| 0.1
J18353+457   | 0.938| 0.855| 0.717| 0.986| 0.744| 0.780| 0.889| 1.163|  0.0| 0.4| 0.4
J18354+457   | 1.139| 0.651| 0.464| 1.069| 1.246| 0.561| 0.765| 1.072|  0.0| 0.4| 0.4
J18400+726   | 1.726| 0.275| 0.188| 1.317| 4.112| 0.279| 0.562| 0.985| -6.2| 1.8| 2.1
J18409+315   | 0.999| 0.816| 0.665| 0.997| 0.880| 0.668| 0.832| 0.921|  0.0| 0.4| 0.4
J18423-013   | 1.200| 0.894| 0.837| 1.015| 1.354| 0.908| 0.960| 1.215|  0.9| 0.2| 0.3
J18427+596N  | 1.117| 0.682| 0.473| 1.054| 1.200| 0.526| 0.769| 1.003|  0.0| 0.4| 0.4
J18427+596S  | 1.149| 0.640| 0.431| 1.071| 1.330| 0.484| 0.736| 0.974|  0.0| 0.4| 0.4
J18453+188   | 1.229| 0.553| 0.384| 1.110| 1.457| 0.433| 0.668| 0.916| -6.8| 0.4| 0.5
J18467+007   | 1.211| 0.524| 0.368| 1.112| 1.398| 0.428| 0.652| 0.920| -6.3| 0.7| 0.7
J18482+076   | 1.426| 0.433| 0.276| 1.173| 2.280| 0.377| 0.666| 1.018| -4.9| 0.6| 0.7
J18491-032   | 1.311| 0.536| 0.338| 1.125| 1.693| 0.444| 0.714| 1.050| -0.6| 0.3| 0.3
J18499+186   | 1.293| 0.537| 0.349| 1.141| 1.756| 0.423| 0.696| 0.989| -1.4| 0.4| 0.6
J18542+109   | 1.256| 0.569| 0.367| 1.104| 1.499| 0.471| 0.743| 1.075|  0.0| 0.4| 0.4
J18550+429   | 1.215| 0.528| 0.361| 1.122| 1.366| 0.426| 0.657| 0.934| -6.4| 0.4| 0.5
J18570+473   | 1.091| 0.690| 0.476| 1.047| 1.060| 0.534| 0.761| 0.998|  0.0| 0.4| 0.4
J19052+387   | 1.216| 0.621| 0.401| 1.089| 1.433| 0.461| 0.708| 0.961|  0.0| 0.6| 0.6
J19060-074   | 1.105| 0.704| 0.509| 1.038| 1.094| 0.570| 0.798| 1.051|  0.0| 0.4| 0.4
J19070+208   | 1.035| 0.764| 0.577| 1.016| 0.978| 0.588| 0.784| 0.909|  0.0| 0.4| 0.4
J19072+442   | 1.308| 0.529| 0.334| 1.132| 1.782| 0.430| 0.713| 1.038| -0.9| 0.3| 0.6
J19105-075   | 1.165| 0.636| 0.430| 1.074| 1.260| 0.512| 0.766| 1.058| -0.5| 0.2| 0.2
J19164+842   | 1.379| 0.486| 0.300| 1.153| 1.959| 0.396| 0.681| 1.017| -1.2| 0.4| 0.5
J19168+003   | 1.186| 0.575| 0.412| 1.083| 1.259| 0.460| 0.675| 0.908| -6.9| 0.3| 0.5
J19169+051N  | 1.093| 0.704| 0.512| 1.042| 1.082| 0.574| 0.791| 1.038|  0.0| 0.4| 0.4
V* V1428 Aql (Gl 752B) | J19169+051S  | 1.983| 0.344| 0.261| 1.292| 6.103| 0.334| 0.641| 0.979| -9.5| 1.0| 1.1
J19243+426   | 1.237| 0.597| 0.403| 1.093| 1.447| 0.487| 0.743| 1.036|  0.0| 0.4| 0.4
J19260+244   | 1.305| 0.517| 0.353| 1.146| 1.671| 0.433| 0.692| 0.988| -6.3| 0.5| 0.6
J19271+770   | 1.054| 0.682| 0.463| 1.043| 0.991| 0.517| 0.737| 0.964|  0.0| 0.4| 0.4
J19282-001   | 1.450| 0.452| 0.280| 1.188| 2.061| 0.399| 0.711| 1.082|-11.0| 0.9| 1.0
J19312+361AB | 1.300| 0.498| 0.322| 1.154| 1.571| 0.423| 0.695| 1.028| -8.5| 0.5| 0.8
J19316-069   | 1.107| 0.686| 0.485| 1.050| 1.087| 0.547| 0.774| 1.018|  0.0| 0.4| 0.4
J19327-068   | 1.209| 0.596| 0.395| 1.093| 1.344| 0.493| 0.754| 1.075|  0.0| 0.4| 0.4
J19346+045   | 1.024| 0.949| 0.876| 0.978| 0.908| 0.883| 0.930| 0.775|  0.0| 0.4| 0.4
J19390+338   | 1.253| 0.590| 0.392| 1.093| 1.447| 0.487| 0.753| 1.070|  0.0| 0.4| 0.4
J19393+148   | 1.141| 0.656| 0.468| 1.059| 1.180| 0.532| 0.766| 1.017|  0.0| 0.4| 0.4
J19421+656   | 1.160| 0.642| 0.442| 1.061| 1.249| 0.491| 0.719| 0.943|  0.0| 0.4| 0.4
J19430+102   | 1.066| 0.721| 0.545| 1.035| 0.999| 0.583| 0.787| 0.977|  0.0| 0.5| 0.5
J19439-057   | 1.196| 0.558| 0.391| 1.108| 1.305| 0.462| 0.680| 0.948| -6.2| 0.2| 0.3
J19452+407   | 0.957| 0.877| 0.757| 0.988| 0.802| 0.786| 0.884| 1.002|  0.0| 0.4| 0.4
J19519+141   | 0.971| 0.833| 0.705| 0.991| 0.828| 0.735| 0.866| 1.017|  0.0| 0.4| 0.4
J19524+603   | 1.148| 0.669| 0.452| 1.069| 1.260| 0.503| 0.730| 0.955|  0.0| 0.4| 0.4
J19539+444WAB| 1.438| 0.388| 0.253| 1.214| 2.548| 0.332| 0.594| 0.954| -5.1| 0.9| 1.0
J19539+444E  | 1.489| 0.372| 0.232| 1.230| 2.677| 0.315| 0.592| 0.969| -4.4| 1.0| 1.0
J19547+844   | 1.249| 0.543| 0.369| 1.128| 1.373| 0.439| 0.680| 0.958|-11.0| 0.8| 1.2
J19564+591   | 1.172| 0.640| 0.427| 1.075| 1.245| 0.504| 0.760| 1.043|  0.0| 0.4| 0.4
J19565+591   | 0.910| 0.890| 0.809| 0.984| 0.692| 0.914| 0.937| 1.352|  0.5| 0.1| 0.1
J19578-108   | 1.284| 0.531| 0.354| 1.132| 1.582| 0.423| 0.678| 0.961| -5.9| 0.6| 0.7
J20021+130AB | 1.186| 0.628| 0.436| 1.079| 1.322| 0.504| 0.758| 1.024|  0.0| 0.4| 0.4
J20033+672   | 1.129| 0.665| 0.466| 1.037| 1.158| 0.530| 0.753| 1.000|  0.0| 0.4| 0.4
J20034+298   | 1.325| 0.511| 0.325| 1.149| 1.951| 0.433| 0.723| 1.067| -1.1| 0.3| 0.4
J20047+512   | 1.154| 0.653| 0.433| 1.080| 1.270| 0.520| 0.763| 1.061|  0.0| 0.4| 0.4
J20065+159   | 1.061| 0.741| 0.549| 1.023| 1.024| 0.565| 0.775| 0.921|  0.0| 0.4| 0.4
J20077+189   | 1.219| 0.586| 0.380| 1.107| 1.406| 0.486| 0.746| 1.080|  0.0| 0.4| 0.4
J20093-012   | 1.375| 0.432| 0.282| 1.179| 1.944| 0.363| 0.616| 0.955| -8.6| 0.7| 1.2
J20108+772   | 0.884| 0.916| 0.848| 0.974| 0.636| 0.934| 0.935| 1.136|  0.5| 0.2| 0.3
J20112+161   | 1.235| 0.575| 0.380| 1.118| 1.563| 0.461| 0.741| 1.036| -0.9| 0.5| 0.5
J20123-126   | 0.823| 1.031| 0.989| 0.980| 0.533| 1.188| 1.081| 0.103|  2.0| 0.5| 0.2
J20177+059   | 1.133| 0.668| 0.465| 1.048| 1.143| 0.533| 0.766| 1.025|  0.0| 0.4| 0.4
J20182-202   | 1.130| 0.658| 0.463| 1.046| 1.116| 0.544| 0.771| 1.054|  0.0| 0.4| 0.4
J20216-199   | 1.041| 0.764| 0.584| 1.009| 0.964| 0.613| 0.803| 0.969|  0.0| 0.4| 0.4
J20254-198   | 1.403| 0.452| 0.290| 1.185| 1.748| 0.426| 0.706| 1.092|-12.1| 1.0| 0.8
J20283+617   | 1.106| 0.688| 0.493| 1.050| 1.157| 0.528| 0.763| 0.960|  0.0| 0.4| 0.4
J20300+003AB | 1.231| 0.504| 0.329| 1.118| 1.558| 0.384| 0.621| 0.912| -2.8| 0.6| 0.8
J20332+283   | 1.287| 0.574| 0.363| 1.117| 1.637| 0.465| 0.739| 1.069| -0.8| 0.4| 0.3
J20336+365   | 1.205| 0.602| 0.393| 1.094| 1.409| 0.459| 0.708| 0.973| -0.4| 0.4| 0.2
J20382+231   | 1.061| 0.722| 0.558| 1.031| 0.981| 0.573| 0.759| 0.892| -2.6| 0.4| 0.4
J20405+154   | 1.335| 0.513| 0.331| 1.136| 1.817| 0.428| 0.706| 1.032| -0.9| 0.5| 0.4
J20407+199AB | 1.082| 0.698| 0.498| 1.042| 1.093| 0.540| 0.758| 0.961|  0.0| 0.4| 0.4
J20439+231   | 1.181| 0.623| 0.434| 1.075| 1.263| 0.515| 0.753| 1.036|  0.0| 0.4| 0.4
J20467-118   | 1.220| 0.518| 0.371| 1.117| 1.426| 0.437| 0.667| 0.939| -7.8| 1.0| 0.7
J20510+399   | 1.152| 0.655| 0.458| 1.062| 1.222| 0.541| 0.788| 1.087|  0.0| 0.4| 0.4
J20540+603   | 1.102| 0.690| 0.506| 1.037| 1.086| 0.545| 0.760| 0.955| -1.7| 0.3| 0.3
J20581+401AB | 0.911| 0.915| 0.832| 0.975| 0.698| 0.896| 0.929| 1.091|  0.4| 0.2| 0.1
J20583+425   | 1.128| 0.669| 0.468| 1.058| 1.172| 0.530| 0.759| 1.003|  0.0| 0.4| 0.4
J20593+530AB | 1.198| 0.569| 0.397| 1.111| 1.413| 0.457| 0.693| 0.948| -3.3| 0.4| 0.4
J21009+510   | 1.088| 0.646| 0.467| 1.051| 1.054| 0.519| 0.743| 0.967| -3.3| 0.7| 0.7
J21019-063   | 1.106| 0.696| 0.493| 1.045| 1.094| 0.561| 0.784| 1.044|  0.0| 0.4| 0.4
J21027+349   | 1.273| 0.474| 0.313| 1.146| 1.570| 0.424| 0.695| 1.043| -4.5| 0.7| 0.6
J21053+208   | 1.110| 0.675| 0.482| 1.050| 1.158| 0.514| 0.737| 0.925|  0.0| 0.4| 0.4
J21057+502W  | 1.255| 0.553| 0.364| 1.116| 1.502| 0.478| 0.748| 1.097|  0.0| 0.4| 0.4
J21057+502E  | 1.230| 0.593| 0.395| 1.098| 1.401| 0.499| 0.762| 1.097|  0.0| 0.4| 0.4
J21068+387   | 0.848| 0.964| 0.920| 0.963| 0.572| 1.044| 0.991| 0.947|  0.7| 0.2| 0.1
J21069+387   | 0.960| 0.944| 0.871| 0.977| 0.790| 0.904| 0.942| 0.895|  0.5| 0.2| 0.2
J21074+198   | 0.960| 0.751| 0.566| 1.008| 0.783| 0.631| 0.813| 1.063|  0.0| 0.4| 0.4
J21074+468   | 1.085| 0.703| 0.519| 1.040| 1.040| 0.584| 0.795| 1.048|  0.0| 0.4| 0.4
J21109+469   | 1.168| 0.623| 0.428| 1.076| 1.256| 0.518| 0.760| 1.062|  0.0| 0.4| 0.4
J21114+658   | 1.057| 0.739| 0.541| 1.039| 1.039| 0.554| 0.757| 0.895|  0.0| 0.4| 0.4
J21127-073   | 1.202| 0.617| 0.407| 1.078| 1.237| 0.501| 0.757| 1.069|  0.0| 0.4| 0.4
J21147+160   | 1.219| 0.591| 0.407| 1.092| 1.407| 0.492| 0.753| 1.050|  0.0| 0.4| 0.4
J21245+400   | 1.538| 0.429| 0.263| 1.192| 2.820| 0.375| 0.701| 1.069| -1.1| 0.5| 0.6
J21376+016   | 1.301| 0.502| 0.344| 1.146| 1.504| 0.434| 0.688| 0.998|-11.9| 0.8| 1.3
J21414+207   | 1.146| 0.608| 0.442| 1.072| 1.203| 0.491| 0.706| 0.928| -5.0| 0.4| 0.7
J21466+668   | 1.253| 0.582| 0.380| 1.103| 1.547| 0.471| 0.739| 1.049|  0.0| 0.4| 0.4
J21467-212   | 1.229| 0.563| 0.389| 1.108| 1.408| 0.438| 0.671| 0.918| -5.1| 0.5| 1.0
J21472-047   | 1.277| 0.530| 0.316| 1.134| 1.618| 0.415| 0.683| 1.015|  0.0| 0.4| 0.4
J21554+596AB | 1.203| 0.553| 0.389| 1.100| 1.349| 0.438| 0.665| 0.911| -8.3| 0.5| 0.8
V* HD 209290 (HD 209290) |J22021+014   | 0.958| 0.858| 0.731| 0.990| 0.798| 0.758| 0.871| 0.998|  0.0| 0.4| 0.4
J22035+036AB | 1.245| 0.520| 0.352| 1.123| 1.529| 0.412| 0.645| 0.922| -5.6| 0.8| 0.8
J22088+117   | 1.357| 0.484| 0.327| 1.145| 1.875| 0.413| 0.682| 0.996| -6.5| 0.5| 0.5
J22089-177   | 1.104| 0.696| 0.489| 1.047| 1.104| 0.497| 0.705| 0.856|  0.0| 0.4| 0.4
J22095+118   | 1.136| 0.681| 0.483| 1.057| 1.180| 0.543| 0.780| 1.028|  0.0| 0.4| 0.4
J22114+409   | 1.468| 0.399| 0.264| 1.192| 2.486| 0.375| 0.685| 1.051| -5.0| 0.5| 0.9
J22160+546   | 1.236| 0.578| 0.390| 1.109| 1.511| 0.446| 0.701| 0.955| -2.1| 0.5| 0.5
J22202+067   | 1.100| 0.694| 0.485| 1.043| 1.142| 0.512| 0.736| 0.916|  0.0| 0.4| 0.4
J22234+324AB | 1.130| 0.657| 0.470| 1.062| 1.115| 0.516| 0.727| 0.936| -5.3| 0.3| 0.6
J22264+583   | 1.160| 0.666| 0.462| 1.066| 1.265| 0.512| 0.757| 0.986|  0.0| 0.4| 0.4
J22300+488AB | 1.322| 0.543| 0.396| 1.113| 1.841| 0.412| 0.655| 0.868| -6.1| 0.7| 0.9
V* 416 Lac (HD 214665) | J22386+567   | 1.390| 0.960| 0.598| 1.136| 2.184| 0.884| 1.446| 3.081|  0.0| 0.4| 0.4
J22387+252   | 1.192| 0.648| 0.450| 1.072| 1.351| 0.509| 0.755| 1.002|  0.0| 0.4| 0.4
J22396-125   | 1.157| 0.634| 0.439| 1.058| 1.264| 0.489| 0.721| 0.948| -0.7| 0.2| 0.2
J22415+260   | 1.161| 0.635| 0.451| 1.083| 1.264| 0.489| 0.720| 0.928| -4.0| 0.4| 0.5
J22437+192   | 1.111| 0.676| 0.483| 1.056| 1.113| 0.536| 0.758| 0.984| -2.5| 0.4| 0.5
J22476+184   | 1.101| 0.658| 0.453| 1.065| 1.109| 0.525| 0.764| 1.033|  0.0| 0.4| 0.4
J22489+183   | 1.273| 0.523| 0.362| 1.128| 1.595| 0.413| 0.650| 0.914| -5.3| 0.6| 0.9
J22509+499   | 1.243| 0.491| 0.343| 1.138| 1.403| 0.428| 0.683| 0.990| -8.9| 0.6| 0.8
J22524+099AB | 1.116| 0.669| 0.468| 1.051| 1.195| 0.493| 0.723| 0.907|  0.0| 0.4| 0.4
J22526+750   | 1.354| 0.528| 0.335| 1.134| 1.879| 0.451| 0.742| 1.100| -0.8| 0.3| 0.4
J22582-110   | 1.133| 0.606| 0.434| 1.074| 1.144| 0.490| 0.706| 0.939| -2.9| 0.4| 0.4
J22588+690   | 1.146| 0.639| 0.436| 1.070| 1.213| 0.512| 0.746| 1.017|  0.0| 0.4| 0.4
J23006+036   | 1.148| 0.663| 0.462| 1.063| 1.204| 0.516| 0.753| 0.985|  0.0| 0.4| 0.4
J23028+436   | 1.263| 0.521| 0.354| 1.133| 1.588| 0.404| 0.643| 0.912| -5.8| 0.9| 0.8
J23036-072   | 1.152| 0.657| 0.464| 1.065| 1.195| 0.535| 0.767| 1.030|  0.0| 0.4| 0.4
J23036+097   | 1.173| 0.633| 0.441| 1.080| 1.304| 0.519| 0.786| 1.080|  0.0| 0.4| 0.4
J23051+519   | 1.184| 0.621| 0.432| 1.091| 1.296| 0.519| 0.771| 1.074|  0.0| 0.4| 0.4
J23051+452   | 1.181| 0.582| 0.424| 1.092| 1.304| 0.490| 0.719| 0.972| -6.6| 0.4| 0.6
J23070+094   | 1.272| 0.813| 0.663| 1.029| 1.444| 0.813| 0.919| 1.653|  0.8| 0.2| 0.2
V* 8 And (HD 219734) | J23177+490   | 1.160| 0.698| 0.501| 1.026| 1.005| 0.772| 0.930| 2.244|  1.0| 0.3| 0.6
J23182+795   | 1.116| 0.644| 0.444| 1.067| 1.124| 0.526| 0.765| 1.052|  0.0| 0.4| 0.4
J23194+790   | 1.212| 0.560| 0.403| 1.097| 1.331| 0.474| 0.697| 0.961| -7.5| 0.8| 1.0
J23209-017AB | 1.221| 0.548| 0.397| 1.106| 1.300| 0.459| 0.685| 0.941|-10.2| 0.7| 1.0
J23220+569   | 1.157| 0.633| 0.434| 1.066| 1.230| 0.522| 0.783| 1.093|  0.0| 0.4| 0.4
J23228+787   | 1.302| 0.347| 0.206| 1.224| 1.634| 0.350| 0.641| 1.066|-11.2| 1.2| 1.6
J23235+457   | 0.852| 0.955| 0.913| 0.969| 0.564| 1.061| 0.986| 1.062|  0.8| 0.2| 0.2
J23261+170AB | 1.257| 0.549| 0.369| 1.119| 1.532| 0.428| 0.676| 0.943| -3.1| 0.8| 0.8
J23266+453   | 1.263| 0.852| 0.543| 1.116| 1.496| 0.851| 1.262| 5.896|  0.0| 0.4| 0.4
J23306+466   | 1.048| 0.745| 0.573| 1.022| 0.996| 0.603| 0.805| 0.980|  0.0| 0.4| 0.4
J23317-064   | 1.362| 0.539| 0.355| 1.139| 1.846| 0.472| 0.763| 1.127| -0.9| 0.6| 0.6
J23376+163   | 1.459| 0.386| 0.250| 1.210| 2.384| 0.330| 0.602| 0.963| -6.2| 1.0| 0.7
J23416-065   | 1.330| 0.534| 0.332| 1.124| 1.761| 0.437| 0.709| 1.044|  0.0| 0.4| 0.4
J23417-059AB | 1.165| 0.605| 0.416| 1.072| 1.297| 0.473| 0.719| 0.965|  0.0| 0.4| 0.4
J23419+441   | 1.386| 0.467| 0.293| 1.170| 2.372| 0.409| 0.710| 1.072| -1.0| 0.3| 0.4
J23423+349   | 1.215| 0.591| 0.383| 1.094| 1.447| 0.467| 0.732| 1.029| -0.6| 0.4| 0.2
J23425+392   | 0.928| 0.904| 0.823| 0.982| 0.739| 0.875| 0.921| 1.054| -1.6| 0.3| 0.4
J23438+610   | 1.110| 0.641| 0.434| 1.059| 1.176| 0.492| 0.731| 0.974|  0.0| 0.4| 0.4
J23490-086   | 1.054| 0.737| 0.534| 1.029| 0.999| 0.563| 0.775| 0.947|  0.0| 0.4| 0.4
J23559-133   | 1.184| 0.568| 0.405| 1.094| 1.331| 0.472| 0.700| 0.959| -4.2| 0.4| 0.5
J23560+150   | 1.102| 0.709| 0.517| 1.040| 1.110| 0.560| 0.783| 0.990|  0.0| 0.4| 0.4
J23569+230   | 1.012| 0.801| 0.640| 1.007| 0.914| 0.680| 0.848| 1.045|  0.0| 0.4| 0.4
J23585+242   | 0.898| 0.921| 0.836| 0.977| 0.677| 0.905| 0.931| 1.105|  0.5| 0.2| 0.3
J23590+208   | 1.111| 0.668| 0.469| 1.059| 1.097| 0.561| 0.785| 1.095|  0.0| 0.4| 0.4

